cnpj;transportadora;valor_final;empresa_faturamento;empresa_cnpj
"=""07450639000118""";"AGF - CONECTA SERVICOS POSTAIS LTDA (VILA ARTEM)";33,61;"AVALIAÇÃO DE RISCO TECNORISK";"=""08181459000140"""
"=""09494467000100""";"AGILLOG TRANSPORTES LTDA";171,04;"AVALIAÇÃO DE RISCO TECNORISK";"=""08181459000140"""
"=""06043407000182""";"BUSATO S TRANSPORTE RODOVIARIO DE CARGAS LTDA - ME";41,23;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
"=""07755676000134""";"COOPERATIVA DE APOIO AO TRANSPORTADOR RODOVIARIO LTDA - COOPERTRUCK";902,86;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
"=""03688464000120""";"COTRARIU-COOP TRANSP.CARGAS RODOV RIO URUGUAI LTDA";188,34;"AVALIAÇÃO DE RISCO TECNORISK";"=""08181459000140"""
"=""16614075000100""";"DIRECIONAL ENGENHARIA S/A";2301,639;"GESTÃO DE TEC. E INF. TECNORISK LTDA";"=""05407719000165"""
"=""06029549000195""";"EXITUM CONSULTORIA EM GESTAO EMPRESARIAL EIRELI";143;"TECNORISK SERVIÇOS DE APOIO";"=""31233305000177"""
"=""10921911000539""";"FORTLEV INDUSTRIA E COMERCIO DE PLASTICOS - PESQUISA RH";192,69;;"="""""
"=""29081265000143""";"G2L LOGISTICA LTDA";197,44;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
"=""75104422000106""";"GRAFICA E EDITORA POSIGRAF LTDA (POSITIVO) - PESQUISA RH";1720;"AVALIAÇÃO DE RISCO TECNORISK";"=""08181459000140"""
"=""50290329000960""";"GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA";184,5;"AVALIAÇÃO DE RISCO TECNORISK";"=""08181459000140"""
"=""04972092000122""";"GRUPO FARTURA DE HORTIFRUT SA (OBA HORTIFRUTI) - PESQUISA RH";7235,16;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
"=""78791712000325""";"GRUPO POSITIVO - GRAFICA E ESTUDOS - PESQUISA RH";548,8;;"="""""
"=""09721487000176""";"GTI - LOG S/A";1017,67;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
"=""25209002000116""";"ID TRANSPORTES DO BRASIL LTDA";251,5;;"="""""
"=""05584207000174""";"IGI - INTEGRACAO E LOGISTICA LTDA";128,7;"TECNORISK SERVIÇOS DE APOIO";"=""31233305000177"""
"=""10469353000199""";"ITAPUA TRANSPORTES LTDA ME";232,59;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
"=""06125803000159""";"JALE TRANSPORTES LTDA";15235;"AVALIAÇÃO DE RISCO TECNORISK";"=""08181459000140"""
"=""30227267000187""";"KANGU TECNOLOGIA LTDA";3971,5;"TECNORISK SERVIÇOS DE APOIO";"=""31233305000177"""
"=""27860094000125""";"KRONOOS CONSULTING LTDA - PESQUISA VITIMOLOGIA";2529,85;"GESTÃO DE TEC. E INF. TECNORISK LTDA";"=""05407719000165"""
"=""28493571000124""";"LIOR CONSULTORIA IMOBILIARIA LTDA (ALIA CONSULTORIA)";1330,24;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
"=""14313016000169""";"LPS PICCOLOTO CONSULTORIA DE IMOVEIS S A";118,5;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
"=""15673605000110""";"LPS SAO PAULO CONSULTORIA DE IMOVEIS LTDA";961,46;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
"=""24400628001033""";"MACAN LOGISTICA E TRANSPORTES LTDA";6046,43;"AVALIAÇÃO DE RISCO TECNORISK";"=""08181459000140"""
"=""07206816000115""";"M DIAS BRANCO S.A. INDUSTRIA E COMERCIO DE ALIMENTOS";22394,399;;"="""""
"=""69194454000147""";"M N TERUYA COMERCIAL DE FERRAMENTAS (COFEMA) - PESQUISA RH";216;"AVALIAÇÃO DE RISCO TECNORISK";"=""08181459000140"""
"=""15027172000126""";"M&P CONSTRUTORA E INCORPORADORA LTDA";70,27;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
"=""12621274000187""";"PACER LOGISTICA S A";7534,65;;"="""""
"=""81243735000148""";"POSITIVO - OPERACAO ACCEPT";189;;"="""""
"=""81243735000148""";"POSITIVO TECNOLOGIA - PESQUISA RH";2971,5;;"="""""
"=""81243735000148""";"POSITIVO TECNOLOGIA S.A.";7364,7;;"="""""
"=""43954460000161""";"RODOVIARIO MORADA DO SOL LTDA";6403,68;"AVALIAÇÃO DE RISCO TECNORISK";"=""08181459000140"""
"=""26155179000140""";"RODOVIAS TRANSPORTES DE CARGAS LTDA";1147,5;"AVALIAÇÃO DE RISCO TECNORISK";"=""08181459000140"""
"=""23648912000170""";"RODRIGO ARAUJO ESTRAN (RODO DIGO)";128,98;"AVALIAÇÃO DE RISCO TECNORISK";"=""08181459000140"""
"=""38130155000204""";"RV CORRETORA DE IMOVEIS LTDA (RIVA VENDAS)";533,88;"GESTÃO DE TEC. E INF. TECNORISK LTDA";"=""05407719000165"""
"=""60745163000125""";"SELLER CONSULTORIA IMOBILIARIA E REPRESENT LTDA (CYRELA)";2286,28;;"="""""
"=""04982010000120""";"SOMA COMERCIO E REPRESENTACAO DE PRODUTOS AGRICOLAS LTDA";159,03;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
"=""91495499000100""";"STARA S A - INDUSTRIA DE IMPLEMENTOS AGRICOLAS";273,92;"GESTÃO DE TEC. E INF. TECNORISK LTDA";"=""05407719000165"""
"=""77856961000127""";"SUPERVISAO COMERCIO DE IMOVEIS LTDA - EPP";97,45;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
"=""18857980000109""";"TRANS CAETANO TRANSPORTE E LOGISTICA LTDA";164,64;"AVALIAÇÃO DE RISCO TECNORISK";"=""08181459000140"""
"=""76700939000120""";"TRANSPORTADORA NICHELE LTDA";2926,25;"AVALIAÇÃO DE RISCO TECNORISK";"=""08181459000140"""
"=""85155372000140""";"TRANSPORTES ARI LTDA";220,97;"TECNORISK SERVIÇOS DE APOIO";"=""31233305000177"""
"=""82638644000174""";"UNIVERSAL LEAF TABACOS LTDA";2274;;"="""""
"=""02172793000151""";"VIGNOTO & VIGNOTO LTDA";222,16;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
"=""31394438000125""";"VIVAZ VENDAS - CONSULTORIA IMOBILIARIA LTDA";2484,43;"GESTÃO DE TEC. E INF. TECNORISK LTDA";"=""05407719000165"""
"=""11990425000101""";"VNC PRONTO CONSULTORIA DE IMOVEIS SA";8,52;"TECNORISK SERVIÇOS LTDA";"=""04866283000100"""
